Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
