Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,673,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
